FRASE
el acceso a este congelador está limitado de alguna manera
el adolescente está en el aire mientras monta la patineta
el aeropuerto está ocupado con los diversos aviones y vehículos
el ala de un avión que vuela sobre una playa
el ala de un avión se desliza sobre una montaña
el anciano está posando con su vaca para una foto
el anciano tiene literalmente un bigote de cepillo de dientes
el animal de peluche es el foco de la imagen
el animal está de pie junto a un árbol caído
el animal está nadando en el agua sobre su espalda
el animal está sentado en las rocas mirando el agua
el anotador en un partido de tenis gira los números
el antiguo camión de bomberos que se une al desfile
el apartamento tiene algunas sillas pero no parece estar habitado
el apio y otros alimentos se muestran encima del pan
el árbitro pide una jugada durante un partido de béisbol
el árbitro y los jugadores de béisbol en el campo
el área de la computadora desordenada está esperando al propietario
el área de preparación de alimentos en un pequeño restaurante
el área del cuello y el pecho de un gallo
el área del lavabo de un baño con un toallero
el armario encima del mostrador está lleno de platos blancos
el armario se ve grande al lado de la estantería
el arreglo de flores está bajo un gran paraguas rosa
el asiento del inodoro está arriba en un baño pequeño
el asiento del inodoro está levantado y hay tuberías expuestas
el asiento está en un inodoro en un baño blanco
el asistente del tren un guardagujas está cambiando la señal
el auto bronceado está en el carril izquierdo del tráfico
el auto está estacionado al lado del edificio con escaleras
el autobús blanco y azul está conduciendo por la carretera
el autobús de la biblioteca tiene muchos libros coloridos pintados
el autobús de la ciudad está conduciendo por la pista
el autobús de la ciudad se detiene para recoger pasajeros
el autobús de pasajeros se detiene junto a la calle
el autobús escolar conduce por la calle de la ciudad
el autobús escolar está esperando frente a la escuela grande
el autobús escolar se ha detenido en la casa apropiada
el autobús está conduciendo en la calle de la ciudad
el autobús está estacionado entre los autos en el estacionamiento
el autobús está junto a la parada de autobús ahora
el autobús está recogiendo a los niños para la escuela
el autobús que lleva a los pasajeros a su destino
el autobús sigue detrás de otro autobús en la calle
el autobús turístico de dos pisos avanza por la carretera
el autobús urbano dejó de llevar pasajeros por la noche
el autobús verde alto está en la parada de autobús
el autobús verde está en una calle con otro tráfico
el autobús verde tiene un letrero que dice motores naranjas
el autobús y el coche están conduciendo por la calle
el ave tiene la cabeza negra y las plumas amarillas
el avión acaba de despegar hacia la puesta de sol
el avión azul y blanco está volando por el aire
el avión de agua está listo para su próximo vuelo
el avión de pasajeros parece ser parte de las nubes
el avión de una sola hélice despega lentamente del aeropuerto
el avión delta está estacionado al lado de la terminal
el avión está a punto de despegar de la pista
el avión está a punto de despegar en la pista
el avión está despegando de la pista en el aeropuerto
el avión está despegando de la pista en el aire
el avión está en la pista con dos jóvenes esperando
el avión está en la pista con otros vehículos ayudándolo
el avión está esperando en el aeropuerto a los pasajeros
el avión está estacionado en el puesto junto con otros
el avión está listo para despegar mientras la gente mira
el avión está volando por el cielo durante el día
el avión llegó para aterrizar mientras se ponía el sol
el avión monomotor vuela por debajo de una sola nube
el avión se está construyendo en un pequeño garaje sucio
el avión vuela a través de un cielo azul claro
el avión vuela cerca de una nube en el cielo
el azulejo colorido está debajo del inodoro y el lavabo
el banco cerca del paraguas está cubierto con tela roja
el banco está debajo de un árbol y un rosal
el banco está en un área sombreada rodeada de plantas
el banco está en una colina con vistas al faro
el banco está frente a una torre con personajes extranjeros
el banco está vacío por la noche en el parque
el banco vacío se encuentra al final de la plataforma
el baño blanco está sentado en la esquina del baño
el baño cuenta con acabados renovados y de alto costo
el baño de hombres tiene azulejos blancos en la pared
el baño de hombres tiene un urinario y un cubículo
el baño de una casa obviamente decorado por una mujer
el baño es blanco y tiene una encimera de mármol
el baño está en la acera cerca de un edificio
el baño está en medio de un proyecto de renovación
el baño está limpio para que lo usen los huéspedes
el baño está limpio y fresco con una pared azul
el baño está limpio y listo para que lo usemos
el baño está siendo remodelado hoy y es un desastre
el baño ha sido limpiado y está listo para usar
el baño limpio tiene un borde verde en el azulejo
el baño muy grande y espacioso tiene alfombra y jacuzzi
el baño pequeño es en gran parte de color blanco
el baño pequeño está iluminado por luces sobre el espejo
el baño pequeño tiene armarios de madera alrededor del lavabo
el baño pequeño tiene un inodoro con un asiento negro
el baño pequeño tiene un lavabo pequeño y un inodoro
el baño público tiene accesorios para discapacitados alrededor del inodoro
el baño tiene azulejos verdes con detalles de madera marrón
el baño tiene dos lavabos y hay un televisor montado
el baño tiene suelo a cuadros en blanco y negro
el baño tiene suelos de baldosas en blanco y negro
el baño tiene un espejo y un lavabo de azulejos
el baño tiene una bañera grande junto a las ventanas
el baño tiene una bañera rosa y un inodoro rosa
el barco está atracado junto a un barco más grande
el barco industrial se parece un poco a un barco
el barco navega en el agua mientras la gente nada
el barco se ha convertido en un gran barco amarillo
el bateador de béisbol está preparado con un bate negro
El bateador de béisbol no es golpeado por la pelota
el bateador está al bate y está siguiendo el lanzamiento
el bateador está balanceando el bate con todas sus fuerzas
el bateador golpea la pelota con el árbitro arrodillado detrás
el bateador mira al receptor durante un partido de béisbol
el bateador prepara el para golpear el terreno de juego
el bateador se agacha para un posible toque de bola
el bateador se prepara para hacer swing en el juego
el bateador termina listo para golpear la pelota de béisbol
el bateador tiró el bate después de golpear la pelota
el bateador y el receptor de béisbol durante un juego
el bateador y el receptor durante un partido de béisbol
el bebé está comiendo un pequeño pastel azul y blanco
el bebé está jugando con el teléfono en el parque
el bebé está parado en el baño junto al inodoro
el bebé está sonriendo mientras se sienta en la cama
el bebé está sosteniendo y mirando su cepillo de dientes
el bebé le está dando la merienda a su madre
el bebé monta el juguete frente al árbol de navidad
el bebé tiene el cepillo de dientes en la boca
el becerro es marrón y está parado en la hierba
el biplano está estacionado al otro lado de la tierra
el bocadillo con la ensalada de macarrones está medio comido
el bollo de sándwich grande contiene diferentes tipos de carne
el bote pequeño se apresura a encontrarse con el crucero
el brócoli acompaña la pasta que tiene una salsa marrón
el brócoli crudo está en el recipiente apto para microondas
el brócoli está creciendo bajo la brillante luz del sol
el brócoli está parcialmente picado en una tabla de cortar
el brócoli está siendo picado en una tabla de cortar
el brócoli se sirve en un bol con un tenedor
el brócoli y las patatas se colocan en un bol
el brócoli y los camarones están encima de los fideos
el bulldog está sentado dentro de la bolsa de viaje
el burrito puesto en la servilleta está a medio comer
el caballo blanco está parado al lado de plantas altas
el caballo de tiro está esperando que llegue el jinete
el caballo está parado cerca del agua con rocas dentro
el caballo está parado solo en la hierba del patio
el caballo grande se alimenta de una deliciosa hierba seca
el caballo y el jinete saltan sobre la estructura amarilla
el camión de bomberos está en medio de muchos autos
el camión de cemento está estacionado con la puerta abierta
el camión está en una carretera con árboles de colores
el camión está estacionado mientras el conductor está recibiendo instrucciones
el camión está lleno de basura en la parte trasera
el camión está remolcando una carga pesada por la ciudad
el camión grande está estacionado al lado de la carretera
el camión volquete está en un camino lleno de árboles
el campanario de una iglesia con un reloj al frente
el carrito de comida está justo afuera de la arena
el carro está parado porque el semáforo está en rojo
el cartel advierte de la inminente curva en la carretera
el cartel indica la dirección de la ruta del autobús
el cartel luminoso cuelga junto a la señal de tráfico
el casco de un barco que está produciendo una estela
el celular del hombre está sobre la mesa mientras habla
el celular es dorado y está pegado a una pared
el celular se queda afuera por la taza de café
el cepillo de dientes está colgando del costado del fregadero
el chef está cortando una hierba verde sobre la pizza
el chef está preparando un plato con una sartén larga
el chico de amarillo parece emocionado de jugar al tenis
el chico está muy bien vestido con traje y corbata
el chico está surfeando en el océano hacia la orilla
el chico haciendo una voltereta en una tabla de wakeboard
